 ,X,Y
309,62.500,42.500
310,67.500,42.500
311,72.500,42.500
312,77.500,42.500
313,82.500,42.500
314,87.500,42.500
315,92.500,42.500
316,97.500,42.500
317,102.500,42.500
318,107.500,42.500
319,112.500,42.500
320,117.500,42.500
321,122.500,42.500
322,127.500,42.500
323,132.500,42.500
324,137.500,42.500
325,142.500,42.500
326,147.500,42.500
327,152.500,42.500
328,157.500,42.500
329,162.500,42.500
330,167.500,42.500
331,172.500,42.500
332,177.500,42.500
333,180.500,42.500
334,2.500,47.500
335,7.500,47.500
336,12.500,47.500
337,17.500,47.500
338,22.500,47.500
339,27.500,47.500
340,32.500,47.500
341,37.500,47.500
342,42.500,47.500
343,47.500,47.500
344,52.500,47.500
345,57.500,47.500
346,62.500,47.500
347,67.500,47.500
348,72.500,47.500
349,77.500,47.500
350,82.500,47.500
351,87.500,47.500
352,92.500,47.500
353,97.500,47.500
354,102.500,47.500
355,107.500,47.500
356,112.500,47.500
357,117.500,47.500
358,122.500,47.500
359,127.500,47.500
360,132.500,47.500
361,137.500,47.500
362,142.500,47.500
363,147.500,47.500
364,152.500,47.500
365,157.500,47.500
366,162.500,47.500
367,167.500,47.500
368,172.500,47.500
369,177.500,47.500
370,180.500,47.500
371,2.500,52.500
372,7.500,52.500
373,12.500,52.500
374,17.500,52.500
375,22.500,52.500
376,27.500,52.500
377,32.500,52.500
378,37.500,52.500
379,42.500,52.500
380,47.500,52.500
381,52.500,52.500
382,57.500,52.500
383,62.500,52.500
384,67.500,52.500
385,72.500,52.500
386,77.500,52.500
387,82.500,52.500
388,87.500,52.500
389,92.500,52.500
390,97.500,52.500
391,102.500,52.500
392,107.500,52.500
393,112.500,52.500
394,117.500,52.500
395,122.500,52.500
396,127.500,52.500
397,132.500,52.500
398,137.500,52.500
399,142.500,52.500
400,147.500,52.500
401,152.500,52.500
402,157.500,52.500
403,162.500,52.500
404,167.500,52.500
405,172.500,52.500
406,177.500,52.500
407,180.500,52.500
408,2.500,57.500
409,7.500,57.500
410,12.500,57.500
411,17.500,57.500
412,22.500,57.500
413,27.500,57.500
414,32.500,57.500
415,37.500,57.500
416,42.500,57.500
417,47.500,57.500
418,52.500,57.500
419,57.500,57.500
420,62.500,57.500
421,67.500,57.500
422,72.500,57.500
423,77.500,57.500
424,82.500,57.500
425,87.500,57.500
426,92.500,57.500
427,97.500,57.500
428,102.500,57.500
429,107.500,57.500
430,112.500,57.500
431,117.500,57.500
432,122.500,57.500
433,127.500,57.500
434,132.500,57.500
435,137.500,57.500
436,142.500,57.500
437,147.500,57.500
438,152.500,57.500
439,157.500,57.500
440,162.500,57.500
441,167.500,57.500
442,172.500,57.500
443,177.500,57.500
444,180.500,57.500
445,2.500,62.500
446,7.500,62.500
447,12.500,62.500
448,17.500,62.500
449,22.500,62.500
450,27.500,62.500
451,32.500,62.500
452,37.500,62.500
453,42.500,62.500
454,47.500,62.500
455,52.500,62.500
456,57.500,62.500
457,62.500,62.500
458,67.500,62.500
459,72.500,62.500
460,77.500,62.500
461,82.500,62.500
462,87.500,62.500
463,92.500,62.500
464,97.500,62.500
465,102.500,62.500
466,107.500,62.500
467,112.500,62.500
468,117.500,62.500
469,122.500,62.500
470,127.500,62.500
